D2C1EDFC-9084-3FF2-B737-565E67FA59C9
1) 79419598D0733AA9BC988F218BB762, 50p, 30j (13-11-6), 19s (65-46)
13) 48068D5BA3D83C6AAA1C01A1D4C436, 105p, 76j (31-12-33), 6s (174-168)
14) D8E064B2E9EE31A3A60A423B10D914, 105p, 84j (28-21-35), -16s (169-185)
15) 1EB65A2752803B6DA385EA2B973275, 101p, 79j (29-14-36), -7s (150-157)
16) 47EAAC0DA447349694F8426C565C4D, 97p, 70j (28-13-29), -13s (111-124)
17) EBB335B392963B2193F9F283246124, 95p, 72j (25-20-27), -13s (137-150)
18) 179436C0B429316BA9EB03DB7556A4, 88p, 62j (28-4-30), 1s (121-120)
19) 256E6EF294F13F28893FEB55B86871, 80p, 74j (23-11-40), -31s (141-172)
20) 712E395780653CA4B40BAFFBDE0C03, 75p, 59j (23-6-30), -6s (123-129)
21) EAB1C1B031A03BCE9CA838AC3235D7, 75p, 67j (22-9-36), -30s (119-149)

3DAC5EE6-C5A2-3F0D-9A25-FFDDC1DA174F
1) 6BDD574E2AB43A9FAE521B03DE0131, 122p, 76j (36-14-26), 17s (149-132)
2) DF8DCA917B8A3AC69193E165274EC2, 121p, 81j (32-25-24), 21s (171-150)
3) 3DE0D9ED9FB732F0AE454B7B6DA628, 119p, 85j (33-20-32), 2s (183-181)
4) D3F82E90812A3C98B75113817B675A, 116p, 77j (34-14-29), 6s (159-153)
5) 2773C6A68D3A30548B6724F95C4964, 114p, 72j (34-12-26), -1s (155-156)
6) B574038502B73D2C9F4FB0FA6A04F6, 113p, 74j (32-17-25), 30s (175-145)
7) 6158119E1DD83552ABE4FE502F65F6, 108p, 80j (31-15-34), -12s (150-162)
8) 8BB66DE5ABCA3E64B13540A28AD0F4, 106p, 64j (30-16-18), 12s (129-117)
9) ACD96AAA52803500932753C0823EC4, 93p, 63j (27-12-24), 20s (137-117)
10) F71B81E092D836FE96B233B703E18D, 90p, 69j (25-15-29), -5s (137-142)
11) 7E395BB1B3CF35ACADB9829D61F930, 89p, 62j (27-8-27), 1s (132-131)
12) 77FDEE47018A387384C63AB2268121, 84p, 59j (26-6-27), -7s (108-115)
13) CFBD4B5A2F723E499F9EEE33579F4A, 83p, 67j (24-11-32), -12s (122-134)
14) BAE56BBCCCBF319D9A0EBA80D94365, 81p, 57j (24-9-24), 3s (109-106)
15) 946AD319B1F93B1D9A1334C54625A6, 80p, 64j (22-14-28), -12s (129-141)
16) 5A73FC334A61395098A6E17E90AF1D, 78p, 64j (21-15-28), -12s (124-136)
17) BC2BC79D527B3E6783593EEE7DA9F9, 75p, 63j (23-6-34), -24s (110-134)
18) 6DE7D80FFA3B3606A7F1541ED3852B, 70p, 65j (19-13-33), -27s (114-141)

90294889-1184-31D3-B983-62915A9C6B30
1) CDFE79B7820A39DBAA6F50C9E80A0B, 136p, 77j (41-13-23), 39s (176-137)
2) F98E4987A13F3421B60A4F8D8182A8, 125p, 80j (37-14-29), 26s (156-130)
3) 70100A6F11B3367E8F7AA5EF717936, 108p, 75j (31-15-29), 0s (137-137)
4) 5E366E3835B93B7C9CD8970632BE48, 107p, 79j (32-11-36), -1s (155-156)
5) 120032CDE710370B8C905C7E628E98, 105p, 68j (31-12-25), 11s (139-128)
6) 3BBE8B67B8B338C7AD86641DB67CA7, 102p, 68j (30-12-26), 8s (137-129)
7) 10CA97899DC030E886A056A4B23197, 97p, 66j (29-10-27), 18s (138-120)
8) 625E5F440D6630D3BEBC88D451E153, 96p, 67j (29-9-29), -5s (127-132)
9) 9E10E1EF420438F69C2906FBDA4B7C, 95p, 66j (28-11-27), -20s (115-135)
10) 999E810D37FB300688C5A3BFD2AFD6, 88p, 58j (25-13-20), 2s (113-111)
11) 3DF958ECB60938DE81B2CB2DA606A6, 81p, 66j (24-9-33), -19s (133-152)
12) F76EC1C9F98E3DD19F22C15B54A7CA, 80p, 64j (22-14-28), -2s (108-110)
13) 0BA6293BCEAD3A18AF1EC66A3F2D3F, 75p, 63j (22-9-32), -22s (112-134)
14) E17D67C3927030DE9CF7D98251C0C5, 74p, 61j (20-14-27), -13s (114-127)
15) CAD486D75CA33660880E4F21C3F56C, 60p, 54j (16-12-26), -22s (88-110)

E0C419F2-8F97-3F21-96FA-73930289A417
1) B62CFFAD093E3C4F8862F20FF96F82, 77p, 45j (24-5-16), 27s (107-80)
2) C217045A619F325DBF70D2A3454652, 55p, 36j (16-7-13), -1s (77-78)
3) 331530EB8BEE3B9693F65FDC50F0A7, 50p, 43j (15-5-23), -26s (77-103)
4) 00DE56048D8638B2AE6CEC670D91DD, 47p, 31j (14-5-12), 3s (68-65)
5) 5D999F4233543F9081293C514FCB0E, 44p, 27j (13-5-9), 14s (66-52)
6) 26AEC72FDC13367F969F9C05DDBEB8, 42p, 31j (12-6-13), 3s (67-64)
7) AC50E10DF01A346082BD00A6FA33C7, 42p, 31j (12-6-13), -3s (62-65)
8) A3486F47F818378C832067C2B2F459, 42p, 34j (11-9-14), -9s (58-67)
9) 7D75A03976193C498583CA16B595FA, 38p, 30j (12-2-16), -8s (60-68)

E67318D8-A8AB-39E5-B635-D468D072C084
1) 2A003D805F4B3F1C93571DA5D887FC, 127p, 79j (37-16-26), 31s (177-146)
2) DF48FD73B30C3D7C926711B6747F5D, 117p, 77j (32-21-24), 25s (179-154)
3) 584AD7B0BA37360FA5999141720552, 113p, 75j (32-17-26), 1s (149-148)
4) 8A617DCA57233D6B8762E7C2868436, 106p, 79j (30-16-33), -6s (160-166)
5) 00E3FF233D0F30D0B736610CD8A427, 100p, 65j (29-13-23), 21s (147-126)
6) 31D0F7A51EB03187AACAA9616000D4, 93p, 66j (27-12-27), 6s (136-130)
7) 862D4A50AE9A3A4EB533EEAA02768F, 88p, 57j (26-10-21), 15s (123-108)
8) F0FFF00782823728AB8E86327F2C71, 88p, 67j (23-19-25), -2s (135-137)
9) 760D647535FF37DAADAD7C0F94561B, 87p, 59j (24-15-20), 3s (116-113)
10) 605B2E8B94E83F2E8616DBCC1ACDEB, 81p, 61j (23-12-26), -9s (117-126)
11) 62A4F35230BA3551A8B05F24F02867, 77p, 62j (22-11-29), -18s (115-133)
12) 7188F5271B3B310B8B8B469B782BF7, 77p, 65j (21-14-30), -33s (100-133)
13) 32B2B7624AB931259BE14EBEC8F960, 74p, 59j (21-11-27), -24s (97-121)
14) 612CE5F06EF83F9C9BA9C98F76BEFE, 72p, 55j (21-9-25), -3s (101-104)
15) 815F9D15D22D3A7688623B2E731DE1, 71p, 58j (19-14-25), -11s (116-127)
16) B5E3C7BE56F13E919320DDB98AAAFE, 70p, 50j (20-10-20), 4s (96-92)

5DE618A6-B977-3415-9499-3D3CA02127ED
1) 1C9C45B8AE3535DEA2636514249A5C, 232p, 162j (66-34-62), 2s (313-311)
2) 11161BBD7B673DA991E3020E1B3228, 221p, 148j (67-20-61), -2s (312-314)
3) 086DB4BFB4C33701BBAD5BF068FB19, 195p, 131j (60-15-56), -3s (252-255)
4) 3CB86B7B0B78317096ECEDBE5358EC, 187p, 128j (55-22-51), 9s (280-271)
5) 55C8E72626D4351BB0D57666B48C04, 186p, 138j (54-24-60), -15s (272-287)
6) 99D8A215EFD03911B0B5CBF1D0D736, 185p, 134j (55-20-59), -10s (264-274)
7) DD3B01A7801936ED984F2BC511C880, 181p, 137j (52-25-60), 19s (299-280)

7BC98D3F-148E-34EC-8B92-E916464A1A90
1) 102BC1684B363CDDBE0AA72D95A574, 74p, 41j (21-11-9), 19s (92-73)
2) C2D57AE7040D3A7DBE86BB30864D60, 65p, 37j (19-8-10), 14s (85-71)
3) B16185BC93A53748A96833BB236928, 61p, 44j (16-13-15), 2s (88-86)
4) A508D8FB357434C49B47A0C0C500A4, 60p, 41j (17-9-15), 11s (87-76)
5) 8C146721470B3BB1A4E1E64C0F5776, 60p, 45j (16-12-17), 8s (95-87)
6) 94AB8DA73F1236F48771B0ED732AA1, 59p, 41j (16-11-14), 7s (84-77)
7) 9C67ECFBBC0E39B49A554B66DD9FCB, 58p, 38j (16-10-12), 12s (83-71)
8) 2BCE287279703728A66F39EA6ECE36, 56p, 42j (14-14-14), 6s (89-83)
9) 0869BE6E26D63F739C58953CA12E26, 55p, 36j (17-4-15), -2s (74-76)
10) D9D79A668574343096D82D021CED9E, 55p, 42j (15-10-17), -9s (86-95)
11) 65637FD143663DC8B0FA63ECDBB909, 54p, 37j (15-9-13), 7s (88-81)
12) E724500F5A6B3DD4B3579146CF9F06, 54p, 39j (15-9-15), -8s (65-73)
13) 39CF78C848DB3CE7A2691B04ABF07F, 52p, 38j (15-7-16), -6s (74-80)
14) D3CADF49A5D034599EF9CA90D07F42, 52p, 44j (14-10-20), -18s (82-100)
15) 5C9B68B8DB8E383CAF2DC4EECF9BE8, 51p, 38j (15-6-17), -2s (78-80)
16) DC95055DBE34387C95A5B5C7DF0ACB, 51p, 35j (15-6-14), -3s (77-80)
17) D0672DB6ED49366884EF3FFA8A0DE5, 50p, 35j (15-5-15), 1s (66-65)
18) B68532D101023A61B501E86FDC03F6, 50p, 37j (13-11-13), -5s (63-68)
19) 3453001E500A362885EB41EC6980EE, 49p, 35j (14-7-14), -1s (65-66)
20) 09A9CB1CB8E9354D9D42D4ECB12F05, 46p, 35j (12-10-13), -6s (73-79)
21) B0069C97B27B397F91F0D2CAE061D2, 44p, 47j (11-11-25), -24s (74-98)
22) F0895EE7AA563C8094BCAB9011E92A, 44p, 39j (10-14-15), 2s (80-78)
23) 260A6B87FC38372E9B6A55F276EF2A, 41p, 32j (12-5-15), -5s (73-78)

B60F42F3-1284-3E52-B48D-A2B8929376E3
1) ED52A43CF9203447B1639C08D373B7, 54p, 28j (17-3-8), 10s (57-47)
2) FEF1893132293E7E824CC5D6A50232, 38p, 27j (12-2-13), 7s (59-52)
3) 5C10DA3122FE3B44AAF79621EAF03B, 38p, 26j (10-8-8), 0s (51-51)
4) A7BD4A5A9AEA3F3F84F0F4C70AB6E3, 37p, 23j (11-4-8), 7s (43-36)
5) C9B9D6E77E043F5D970EFE8FC4ADD5, 32p, 25j (9-5-11), -1s (49-50)
6) 52C8633CDCEE3BC1A560E470B02B1E, 29p, 16j (8-5-3), 9s (38-29)
7) B44C2B22255C3D80AB897CDFE33BAA, 28p, 23j (8-4-11), -3s (41-44)
8) 10D4952333C83CE5A09340C92178FE, 27p, 16j (8-3-5), 5s (31-26)
9) 66053AE14F053086AB1137BF92EB28, 26p, 18j (8-2-8), -6s (30-36)
10) D014392F5F2C327990A2350055F8E5, 22p, 17j (6-4-7), 3s (28-25)
11) 236E305A62583927A96D699979F032, 21p, 22j (6-3-13), -15s (32-47)
12) 8D12F7D56FFC3FE4A0C79A9D43BF61, 18p, 21j (5-3-13), -16s (31-47)

BF22ECC1-49D7-3EC0-8DEB-D26FC930718A
1) 9824AEC8B6F6391681A613F11C2B25, 132p, 83j (37-21-25), 30s (174-144)
2) A70002F763D53686BF4E10264AE536, 130p, 77j (39-13-25), 32s (164-132)
3) D08312673D1138F7840126360E2FBC, 120p, 70j (36-12-22), 27s (155-128)
4) B8CB89D193F93D7889D5BA6DAFE652, 120p, 98j (34-18-46), -11s (202-213)
5) ED19392233C2335D88E366626F54A8, 115p, 76j (35-10-31), 16s (150-134)
6) F390C01945903131936D57C2B15009, 112p, 76j (33-13-30), 1s (146-145)
7) 0CA7E6A721BC339B90C75916C92AE9, 107p, 77j (32-11-34), -6s (143-149)
8) 618806A04CB3384DA6173EF9002A1D, 102p, 64j (29-15-20), 28s (142-114)
9) 3006ED73EB2736829CDFCBB79A8B86, 101p, 76j (30-11-35), -1s (162-163)
10) 1162A514B15D3FC5AF488BD311CEA9, 100p, 62j (28-16-18), 12s (136-124)
11) 64C6AF1519C13DADA7EE70FA66C353, 97p, 79j (28-13-38), -17s (149-166)
12) AAEB5045D9DB3A168E55A494ED29F0, 87p, 68j (23-18-27), -6s (142-148)
13) D862BCAE74273E93B1DF3D7B93AEA6, 86p, 61j (25-11-25), -12s (124-136)
14) 540875F6A36A307B85594FD9C50436, 86p, 72j (24-14-34), -28s (145-173)
15) CC04A63DFA2E310DADDF8E761839D9, 86p, 75j (24-14-37), -33s (135-168)
16) 6BCA74671FC13DAA8273BC8CB88A89, 84p, 70j (24-12-34), -32s (134-166)

DA940558-8E1C-3B60-9D68-10DC9C8947BF
1) 516A25EB646B3AA2B5BC6323CEE24E, 57p, 38j (16-9-13), 0s (70-70)
2) FAE3F7B2FEE9384AADB178ABC1849F, 55p, 26j (16-7-3), 29s (63-34)
3) 8AD7EC443E493A5EB56BDB0FBC7111, 55p, 32j (15-10-7), 5s (71-66)
4) E67A6897566E350082DACCA12D73A3, 53p, 28j (16-5-7), 10s (65-55)
5) 23877570B2B431FABC3C64325104B4, 50p, 33j (14-8-11), 6s (64-58)
6) 6103879A678534BAA8C938AA1AFC25, 43p, 35j (12-7-16), -12s (69-81)
7) C9BDF70120DE37AB8917D4DB6B3175, 42p, 33j (11-9-13), -2s (65-67)
8) B87E638628183CE399EDCC31D59A8C, 41p, 32j (13-2-17), -7s (48-55)
9) 4C255A8BC77A3EEB875AD9B1CACCF5, 39p, 28j (11-6-11), 10s (62-52)
10) E2BE94464D1C345DA02EFF07B8A2E8, 39p, 25j (11-6-8), 10s (59-49)
11) 71B051786FB8336698668B5B61F09C, 39p, 30j (10-9-11), -3s (56-59)
12) A32EDAC186013B9E8F8E7E92EEBACD, 38p, 26j (11-5-10), -5s (46-51)
13) 61077166942B33C5836F2D0E220B14, 38p, 24j (10-8-6), 6s (50-44)
14) D66C4C9B9DEC3A1FABD07FB90980B9, 37p, 26j (10-7-9), 6s (53-47)
15) 0D2E6C8B7A8B3B53A76133E200CDDC, 36p, 24j (10-6-8), 8s (56-48)
16) A429C7E47D5A3E5E8337EC6B83BC19, 34p, 25j (9-7-9), 6s (53-47)
17) 7D5AEB8ADC8D3CC294BE9801B7C904, 33p, 25j (9-6-10), -3s (50-53)
18) 09833DCB1D55325F998477CAC1C3C9, 33p, 33j (8-9-16), -6s (68-74)
19) 5E9064C986F634E2827221E0C7C1C2, 32p, 26j (7-11-8), -1s (53-54)
20) 8EDFFD98CC1139338653B95580BA3E, 31p, 24j (9-4-11), -11s (45-56)
21) EB420F41495E3E19BF6D1A7D3F2FC4, 31p, 28j (8-7-13), -3s (61-64)
22) 525ED70D29473FCEB97330D369422C, 30p, 24j (9-3-12), -13s (34-47)
23) FE2094276AD1393C93928D18ECEAD5, 28p, 26j (8-4-14), -7s (44-51)
24) AE47C797E6D039B19FC52CC6F5D18F, 26p, 21j (8-2-11), -2s (43-45)
25) 91BEA4CA20AE3BB0B28AEF0E124A07, 25p, 22j (7-4-11), -14s (37-51)
26) 5A3D69F17278342D828E0CAE131FDC, 23p, 20j (6-5-9), -7s (38-45)

A677DB18-7A92-36AC-AE30-EB6E1D5A010A
1) 630E3C6E95943AF4BF8D07EB090848, 78p, 50j (23-9-18), 11s (104-93)
2) 6A6F32B20CA73EA9B87A90D5DCB5B5, 71p, 50j (21-8-21), -10s (88-98)
3) 3B1CB5FD530C3294B9B59160D4AFDA, 65p, 46j (18-11-17), 3s (93-90)
4) B99F0A97495034BCA58A6E106152F2, 64p, 37j (19-7-11), 17s (74-57)
5) 0DA5AF58B7E0396FA58CED677AF104, 64p, 44j (19-7-18), 3s (100-97)
6) 339902E8DFB637F4B64E40C283616C, 62p, 49j (16-14-19), -5s (94-99)
7) FCB02D9C900A35E5B76C4A3DA580F8, 59p, 39j (17-8-14), 15s (78-63)
8) 86C8296E334B3A53B3E37B7B61BEA9, 58p, 41j (15-13-13), 0s (82-82)
9) C8900613D8E1304CAFA0090B67BFDF, 53p, 42j (15-8-19), -8s (88-96)
10) FD2BB0D5349A3E9E93697A7A887012, 50p, 51j (11-17-23), -16s (85-101)
11) 9FE8EC3960D23C93A4437E11E00AF3, 49p, 33j (14-7-12), 0s (65-65)
12) 91DE4B0EE8C1392F9CF6BDEAA1201D, 47p, 38j (12-11-15), -10s (67-77)

ABE596AC-D6F4-3907-B583-5F394E674179
1) B2C009604E453C5A9B7F63BDE98857, 55p, 29j (18-1-10), 21s (66-45)
2) 8F32908D37253339AA4AD149A3F56C, 55p, 31j (17-4-10), 15s (77-62)
3) 372B33267F223960B29CDCCC6C5174, 55p, 35j (16-7-12), 12s (79-67)
4) A504D10697B8372BB876D85819D3FE, 53p, 39j (15-8-16), -9s (76-85)
5) 1C7055424D153705A8C121F52393A1, 52p, 33j (15-7-11), 8s (75-67)
6) 5F753963CFFB3AB38654638B9EC975, 51p, 37j (15-6-16), -3s (80-83)
7) 8E12CD70C30839D1BF02C1424793D1, 50p, 44j (13-11-20), -18s (83-101)
8) FCE49DDCE5AB31DEA5D0E8617BD6B3, 49p, 38j (15-4-19), -10s (82-92)
9) E2D0B69BE59F38A6874CB8F776A713, 48p, 34j (13-9-12), -1s (62-63)
10) 94C1B98EC6003029AB2AD23A8EED42, 47p, 39j (13-8-18), 0s (84-84)
11) 36AF73B6451A3195ACC3D3D498DB02, 35p, 31j (10-5-16), -15s (54-69)

EB210637-141C-327D-BA8B-FEABF3811E88
1) 95A3726DD770357FA4F98CB0D7C106, 93p, 54j (28-9-17), 20s (133-113)
2) 6D2EF9CED612358C8BAEB6D629AB4C, 81p, 42j (24-9-9), 31s (94-63)
3) 3249C50BFBC03594ADEC03D88798B5, 81p, 56j (23-12-21), 4s (120-116)
4) 1EAAE916CF9134C19267A49825ACC4, 80p, 52j (22-14-16), 5s (103-98)
5) C84A8C269490342DA39C18F9F5FC8F, 71p, 49j (21-8-20), 13s (103-90)
6) 1514D2D7643F33DF9A01EA1C3D39D3, 71p, 45j (21-8-16), 8s (95-87)
7) A47E22B900793FC1AF45827F2B93E6, 70p, 46j (21-7-18), 10s (100-90)
8) FB56BC335EE03F8596D97F1961FDD8, 63p, 46j (19-6-21), -15s (98-113)
9) CF11F3E9E9133D0CBEB2761CE8B56C, 61p, 45j (17-10-18), 0s (96-96)
10) 5AB4A79F455131F9A1A43EB65BDB37, 59p, 46j (16-11-19), -9s (87-96)
11) C0BE7FFB42DF36E3ABC075E1057594, 55p, 44j (14-13-17), -3s (85-88)
12) 75EFED5851183F7DB38F0043BEE6BE, 52p, 46j (15-7-24), -13s (70-83)
13) 83AE409663EB365BB00399BFDF50AB, 52p, 50j (13-13-24), -34s (100-134)
14) 432C334BF57239C59A553472DD5146, 47p, 44j (14-5-25), -10s (88-98)
15) 28BBBF41FCD83ED491AD488BC2123F, 42p, 35j (10-12-13), -7s (56-63)

7F0F9A04-3C33-3009-AAF5-92DB992C069D
1) E65A3DD4050C36118EB53C2C4494A6, 1006p, 711j (293-127-291), -34s (1372-1406)
2) E0D8F463555738D9B48DCA99590FD8, 1000p, 711j (291-127-293), 34s (1406-1372)

37EFB282-29C2-3A01-A13F-92557D34E34E
1) EB089F71F2783F42B60A4F8C4BCB78, 119p, 76j (34-17-25), 8s (157-149)
2) D116A48BC1D83E42ACF15FB6B3E152, 107p, 73j (33-8-32), 7s (162-155)
3) 894E546DC9803D1A8028A17BFDC6AF, 105p, 60j (33-6-21), 13s (128-115)
4) 1A1CAB2C33B73A9CBD6876DBC1EB86, 103p, 70j (31-10-29), 5s (148-143)
5) 63FC203BB24E3CC8A53D691FAC5F00, 102p, 66j (29-15-22), 5s (137-132)
6) C965AE72D0DE344C9F1519F669862E, 101p, 66j (30-11-25), 17s (137-120)
7) C9C65DB6846236C191AD2336669594, 97p, 63j (27-16-20), 14s (132-118)
8) 006AB1D1575032CEB74978495450A1, 92p, 59j (28-8-23), 17s (120-103)
9) 114329AD0D56376FBD523FB7267D72, 91p, 59j (26-13-20), 0s (116-116)
10) 5264672C89C23A89AF09ADC4D9E7B5, 89p, 66j (27-8-31), 0s (120-120)
11) C4D37D4BBF703504AAA434ADEA6F9E, 89p, 71j (25-14-32), -16s (138-154)
12) 8705DBE8591B3ACAAAA7725F5C60DC, 88p, 60j (25-13-22), 16s (126-110)
13) EF71F6FABECB328880E20C3252D7DA, 88p, 63j (24-16-23), 12s (138-126)
14) 4114A915A4B7321A82C2BA2C8F2C98, 86p, 66j (24-14-28), -10s (118-128)
15) 458E15AE91963138B87572CC83D4BC, 85p, 58j (25-10-23), 15s (128-113)
16) 4739DC8772823222A302CADCB8AFE7, 84p, 57j (26-6-25), 3s (118-115)
17) 4FD5BB6DD2B53907B5715BCE0C5787, 81p, 57j (24-9-24), -10s (101-111)
18) E267D29BE89E320EB45229D4E87BE1, 81p, 55j (23-12-20), 10s (116-106)
19) 22DF4A199B1532FCA0E3496D415E97, 81p, 60j (22-15-23), -13s (119-132)
20) 9EF7BC4AAE9C373BBB9F1475660BA6, 80p, 53j (23-11-19), 21s (116-95)
21) 01230E4BE9293720B07CE0D153C741, 77p, 56j (21-14-21), 2s (114-112)
22) F36ABEF8BEB13346ABC9E4BEB3A91C, 76p, 62j (20-16-26), -9s (125-134)
23) 17A0897A95653798A24AC1BD473FC7, 75p, 50j (23-6-21), 8s (107-99)
24) 260529C2A9A63452A2675DD16E2FD1, 73p, 54j (22-7-25), -10s (112-122)
25) 74C43F965C9239B8B4E4BC15F8ECDE, 71p, 61j (20-11-30), -22s (106-128)
26) B8AD1EEF9834392A9C15717FF42577, 70p, 56j (20-10-26), -14s (105-119)
27) FBEA99AC88EB3DD1BB1ED8FD455446, 67p, 59j (19-10-30), -32s (103-135)
28) F945FB2F0B5F3D27B29EFD8F35D8DA, 66p, 66j (18-12-36), -37s (108-145)

FD60B67F-C652-38C0-8D3A-AF1D736AD6B7
1) 7A83E1FEFCDB380FAF4BFDE3969320, 55p, 40j (15-10-15), -7s (85-92)
2) C11554A2FF7D35C3A900B58393B2C0, 48p, 31j (14-6-11), 11s (72-61)
3) F11307C1914C326DBEBE9F86F8D198, 46p, 31j (14-4-13), 1s (60-59)
4) 2EB4F9358F683581B70DD850E4F54A, 43p, 30j (12-7-11), 8s (72-64)
5) 98F66533356A3994B150A311F82D32, 42p, 27j (12-6-9), 9s (64-55)
6) AF321A06FB183AC389555FE5349D5E, 30p, 23j (9-3-11), -9s (41-50)
7) F609CE3F63423C13BC087B7E3FCE00, 28p, 23j (7-7-9), -5s (41-46)
8) C6EB4A0F29C43354AED78AF84E255A, 26p, 22j (7-5-10), -8s (41-49)
9) 252449C8ED433EFDBF74C7A0A2F8D7, 14p, 11j (4-2-5), 0s (21-21)

39D0BA25-57D6-3C09-8CA0-25F51F99846E
1) 25149B6606DD3AA886FDCAB6B4361F, 69p, 45j (20-9-16), 21s (116-95)
2) 648E14B90BF83E4993153CDC45DA6A, 62p, 37j (19-5-13), 14s (86-72)
3) 66A1E1C9A3E73704B6B60E4DEF8785, 60p, 39j (16-12-11), 8s (88-80)
4) 101C115DDE0031B2938635782B17E7, 58p, 34j (16-10-8), 16s (86-70)
5) FDE6F62ACFCC36A3AE0B20B5C92342, 54p, 29j (17-3-9), 23s (58-35)
6) 37A015D397E03064BF846785377BBC, 54p, 41j (16-6-19), -5s (89-94)
7) 4DD9423756333966A3F7B95ABAA539, 53p, 33j (16-5-12), 5s (64-59)
8) D0C01EB252F43DE39DDF676ECDFE8D, 53p, 32j (16-5-11), 4s (67-63)
9) EECC97A401DB35BCA8F5590D2487B7, 51p, 35j (15-6-14), -6s (57-63)
10) 67D0D25C22443742908FF31D570A36, 49p, 25j (16-1-8), 21s (57-36)
11) 74AD3B56817A36E0A2539EBB1CBD4B, 47p, 28j (15-2-11), 10s (56-46)
12) 93508B27616835258E5058D4F35AB9, 46p, 40j (13-7-20), -14s (77-91)
13) 936C416FFD1D341C8E51FB4244338F, 46p, 40j (13-7-20), -14s (75-89)
14) 3115BA125C0B3199B2181F64FAA107, 45p, 35j (13-6-16), -6s (60-66)
15) 784160AB9DBE399D9E2A1630D8BDB8, 43p, 32j (13-4-15), -12s (59-71)
16) 9F9989B2A4BF343988CCEFD79404F1, 42p, 29j (12-6-11), 3s (68-65)
17) 3EC89CBDBBAB3D9889657D5AD3307F, 42p, 36j (11-9-16), -12s (63-75)
18) 60AD1FAC5BE530DE848C9A6E8B723F, 41p, 29j (12-5-12), -1s (48-49)
19) 296B0B5AFFAC3DFEBA3C610F297E5C, 38p, 40j (9-11-20), -17s (67-84)
20) 369E67933BE835FAA6C72FB9A3B27E, 37p, 23j (12-1-10), 0s (53-53)
21) CB06EB94464E3B4D99E9C8B3DFB053, 37p, 25j (11-4-10), 0s (51-51)
22) 2BCEF6E1D53D3D72A83CE7F5F7EB4A, 36p, 26j (11-3-12), 6s (51-45)
23) 9D80D528E652340A9EC9D8DDB52EB4, 35p, 26j (11-2-13), -6s (50-56)
24) 9A5F3B50C9FE3089A10D0B0C51E6E4, 32p, 22j (8-8-6), 4s (48-44)
25) 09EAFACB7AF13E6DA3B061DFF2C29C, 32p, 28j (8-8-12), -8s (47-55)
26) 054136E5B24A3DF09EED84FD73C866, 23p, 31j (6-5-20), -34s (44-78)

CD641171-A81C-3961-A257-CAED89287BB2
1) 4267CB73878433F5B7D37769C14CB3, 17p, 9j (5-2-2), 8s (26-18)
2) 378B097DEC503A6481737B5558B667, 15p, 8j (5-0-3), 7s (17-10)
3) 728E5A738561398DB2D17452B385F9, 15p, 8j (5-0-3), 2s (12-10)
4) F380A30A91543B37AF04834114854F, 14p, 7j (4-2-1), 4s (13-9)
5) 2958EE779A7E3B17985AE94E200D15, 13p, 5j (4-1-0), 8s (14-6)
6) 2DEB53417FD136D4B69930D028F62E, 13p, 9j (4-1-4), 2s (23-21)
7) B0A91B6773DA386B98B58927746947, 13p, 8j (4-1-3), 1s (14-13)
8) 888104E30DA93FC0BD4337E55A4502, 12p, 4j (4-0-0), 4s (10-6)
9) B4B7FFE7DE92364D8B00762CDA2CEA, 12p, 9j (3-3-3), 2s (16-14)
10) 043E5A6D825333BCB9F45E8514B76F, 10p, 4j (3-1-0), 8s (11-3)
11) A95F0DC8F3D030ECB3B77ECB461F2C, 10p, 7j (3-1-3), 2s (18-16)
12) F577EE44642D3ECABB628F9B8A8957, 9p, 5j (3-0-2), 3s (13-10)
13) 17CA066E91923E12A80015264A8CBA, 9p, 6j (3-0-3), 0s (12-12)
14) 2C813630AD673E06BD8BCBF7E5242C, 9p, 7j (3-0-4), 0s (12-12)
15) 036832A24D063CE798B7FEA8A16C5B, 8p, 4j (2-2-0), 5s (11-6)
16) D11F7F95C68B3C7280BA5F430F7F1D, 8p, 6j (2-2-2), -1s (13-14)
17) 47733D3C190F36D1869539324BB02E, 7p, 4j (2-1-1), 4s (8-4)
18) 58209CA35BD43A67876582CE489E5A, 6p, 5j (2-0-3), -2s (8-10)
19) 9EAC9BF321FF308DAAAB205641CA51, 6p, 7j (2-0-5), -8s (11-19)
20) 0F5DDF8DCFF73565B8107CDF5307C0, 6p, 6j (2-0-4), -8s (7-15)
21) CCDDBA349FA1386791D1EA8D509B01, 6p, 6j (1-3-2), -3s (12-15)
22) F989F0F09EF934E8AD4E263B9683A7, 5p, 4j (1-2-1), 2s (12-10)
23) F7717230F62937D1815957878DE0D4, 4p, 3j (1-1-1), -3s (3-6)
24) 7753FD068AE33767848E23473C5427, 3p, 3j (1-0-2), -2s (6-8)
25) FD3CC037EF2D3497B474AEE90B41A5, 3p, 6j (0-3-3), -7s (9-16)
26) D6544A946ED2328498EF344E922CE3, 2p, 3j (0-2-1), -2s (4-6)
27) 0B50CAEE94EC346E9E2219408C0E0B, 2p, 3j (0-2-1), -4s (4-8)
28) 6E8EB2DA8F3233FDA4C0EBF5E7DABC, 0p, 4j (0-0-4), -6s (5-11)
29) 0B38F6A835B93A8E88A2D08FE49667, 0p, 4j (0-0-4), -8s (3-11)
30) 57C688AAE34339ED9712930BB82E6A, 0p, 4j (0-0-4), -8s (2-10)

